id,drug1,drug1_group,drug2,interaction_effect,severity,onset,management
1,GEMFIBROZIL,ยาลดไขมัน (Lipid-Lowering Agents),SIMVASTATIN,เพิ่มความเสี่ยงในการเกิด Myopathy หรือ Rhabdomyolysis,Contraindicated,Delayed,ห้ามใช้ร่วมกัน หลีกเลี่ยงการใช้ร่วมกัน หากจำเป็นต้องใช้ ติดตามค่า serum creatinine kinase และอาการแสดงของ myopathy หรือ rhabdomyolysis (ปวดเมื่อยกล้ามเนื้อ กล้ามเนื้ออ่อนแรง อย่างไม่ทราบสาเหตุ)
2,KETOCONAZOLE,ยาต้านเชื้อรา (Antifungals),SIMVASTATIN,เพิ่มความเสี่ยงในการเกิด myopathy หรือ rhabdomyolysis,Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
3,CAFFEINE + ERGOTAMINE TARTRATE,ยาแก้ปวดไมเกรน (Migraine Medications),ERYTHROMYCIN,Macrolide ไปลด metabolism ของ ergotamine เสริมฤทธิ์การหดตัวของเส้นเลือดของ ergotamine ทำให้เกิด vascular ischemia และอาจรุนแรงจนกระทั่งเกิด Gangrene ต้องตัดอวัยวะ,Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
4,CAFFEINE + ERGOTAMINE TARTRATE,ยาแก้ปวดไมเกรน (Migraine Medications),CLARITHROMYCIN,Macrolide ไปลด metabolism ของ ergotamine เสริมฤทธิ์การหดตัวของเส้นเลือดของ ergotamine ทำให้เกิด vascular ischemia และอาจรุนแรงจนกระทั่งเกิด Gangrene ต้องตัดอวัยวะ,Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
5,CAFFEINE + ERGOTAMINE TARTRATE,ยาแก้ปวดไมเกรน (Migraine Medications),LOPINAVIR + RITONAVIR,"เพิ่มความเสี่ยงในการเกิด acute ergot toxicity (peripheral vasospasm, ischemia ของ extremities เพิ่มขึ้น) ",Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
6,CAFFEINE + ERGOTAMINE TARTRATE,ยาแก้ปวดไมเกรน (Migraine Medications),ITRACONAZOLE,"เพิ่มความเสี่ยงในการเกิด acute ergot toxicity (peripheral vasospasm, ischemia ของ extremities เพิ่มขึ้น) ",Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
7,CAFFEINE + ERGOTAMINE TARTRATE,ยาแก้ปวดไมเกรน (Migraine Medications),KETOCONAZOLE,"เพิ่มความเสี่ยงในการเกิด acute ergot toxicity (peripheral vasospasm, ischemia ของ extremities เพิ่มขึ้น) ",Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
8,ITRACONAZOLE,ยาต้านเชื้อรา (Antifungals),SIMVASTATIN,เพิ่มความเสี่ยงในการเกิด myopathy และ rhabdomyolysis,Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
9,CLARITHROMYCIN,ยาปฏิชีวนะ (Antibiotics),SIMVASTATIN,เพิ่มความเสี่ยงในการเกิด myopathy หรือ rhabdomyolysis,Contraindicated,Not Specified,"ห้ามใช้ร่วมกัน หากจำเป็นต้องใช้ clarithromycin ควรใช้ยาอื่น ในกลุ่ม statin ที่ไม่ได้เมตาบอไลท์ผ่าน CYP 3A4 เช่น Fluvastatin, pravastatin, rosuvastatin และหากต้องใช้ simvastatin ให้ใช้ขนาดยาต่ำสุดเท่าที่เป็นไปได้"
10,FLUOXETINE,ยาทางจิตเวช (Psychiatric Medications),THIORIDAZINE,"ทำให้เกิด prolong QT interval และเพิ่มความเสี่ยงในการเสียชีวิตจาก torsade de pointes, arrhythmia ",Contraindicated,Not Specified,ห้ามใช้ร่วมกัน
11,DIGOXIN,ยาลดความดันโลหิตและโรคหัวใจ,SPIRONOLACTONE,เพิ่มการแสดงออกของ digoxin,Major,Not Specified,ลดขนาดยา digoxin 15-30% และติดตามระดับยา
12,PHENOBARBITAL,ยาอื่นๆ (Others),WARFARIN SODIUM,ทำให้ผลของ warfarin ลดลง ถ้าหยุด phenobarbital ทำให้ฤทธิ์ warfarin มากเกินปกติ,Major,Not Specified,พิจารณาปรับเพิ่มขนาดยา warfarin/ให้ลดขนาดยา warfarin ถ้าหยุด phenobarbital
13,METRONIDAZOLE,ยาปฏิชีวนะ (Antibiotics),WARFARIN SODIUM,metronidazole ไปยับยั้ง hepatic metabolism ของ warfarin ผลของ warfarin อาจเพิ่มขึ้น เกิด bleeding ได้,Major,Delayed,"หากใช้ร่วมกัน แนะนำให้ติดตาม PT, INR, sign of bleeding อย่างใกล้ชิด "
